Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,WD121KRYZ,WD,Gold 12TB (2017),1,111,685,https://hdd.userbenchmark.com/SpeedTest/391336/WDC-WD121KRYZ-01
HDD,WD101KRYZ,WD,Gold 10TB (2016),2,107,886,https://hdd.userbenchmark.com/SpeedTest/171115/WDC-WD101KRYZ-01JPDB0
HDD,WD6002FRYZ,WD,Gold 6TB (2016) ,3,101,1526,https://hdd.userbenchmark.com/SpeedTest/167511/WDC-WD6002FRYZ-01WD5
HDD,WD6002FZWX,WD,Black 6TB (2016),4,99.6,5214,https://hdd.userbenchmark.com/WD-Black-6TB-2016/Rating/3927
HDD,WD8003FRYZ,WD,Gold 8TB (256MB Cache 2017),5,99.6,566,https://hdd.userbenchmark.com/SpeedTest/388081/WDC-WD8003FRYZ-01JPDB1
HDD,WD6002FFWX,WD,Red Pro 6TB (2015),6,99,797,https://hdd.userbenchmark.com/SpeedTest/139230/WDC-WD6002FFWX-68TZ4N0
HDD,0S03839,HGST,Deskstar NAS 6TB,7,96.6,836,https://hdd.userbenchmark.com/SpeedTest/22222/HGST-HDN726060ALE610
HDD,WD1000DHTZ,WD,VelociRaptor 1TB,8,95.1,5798,https://hdd.userbenchmark.com/WD-VelociRaptor-1TB/Rating/1389
HDD,WD8002FRYZ,WD,Gold 8TB (128MB Cache 2016),9,94.9,222,https://hdd.userbenchmark.com/SpeedTest/226349/WDC-WD8002FRYZ-01FF2B0
HDD,WD6001FZWX,WD,Black 6TB (2015),10,94.8,3454,https://hdd.userbenchmark.com/WD-Black-6TB-2015/Rating/3519
HDD,ST1000DM010,Seagate,Barracuda 1TB (2016),11,93.6,847912,https://hdd.userbenchmark.com/Seagate-Barracuda-1TB-2016/Rating/3896
HDD,WD5000BHTZ,WD,VelociRaptor 2.5" 500GB,12,93.3,360,https://hdd.userbenchmark.com/SpeedTest/11902/WDC-WD5000BHTZ-04JCPV1
HDD,ST3000DM008,Seagate,Barracuda 3TB (2016),13,93,93036,https://hdd.userbenchmark.com/Seagate-Barracuda-3TB-2016/Rating/3898
HDD,ST4000VN008,Seagate,IronWolf 4TB (2016),14,92.9,12189,https://hdd.userbenchmark.com/Seagate-IronWolf-4TB-2016/Rating/3906
